PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=1 ttl=64 time=25.9 ms
64 bytes from 10.0.0.3: icmp_seq=2 ttl=64 time=5.60 ms
64 bytes from 10.0.0.3: icmp_seq=3 ttl=64 time=3.84 ms
64 bytes from 10.0.0.3: icmp_seq=4 ttl=64 time=5.59 ms
64 bytes from 10.0.0.3: icmp_seq=5 ttl=64 time=4.26 ms
64 bytes from 10.0.0.3: icmp_seq=6 ttl=64 time=4.38 ms
64 bytes from 10.0.0.3: icmp_seq=7 ttl=64 time=4.28 ms
64 bytes from 10.0.0.3: icmp_seq=8 ttl=64 time=4.69 ms
64 bytes from 10.0.0.3: icmp_seq=9 ttl=64 time=4.96 ms
64 bytes from 10.0.0.3: icmp_seq=10 ttl=64 time=4.73 ms
64 bytes from 10.0.0.3: icmp_seq=11 ttl=64 time=4.78 ms
64 bytes from 10.0.0.3: icmp_seq=12 ttl=64 time=4.21 ms
64 bytes from 10.0.0.3: icmp_seq=13 ttl=64 time=5.13 ms
64 bytes from 10.0.0.3: icmp_seq=14 ttl=64 time=4.98 ms
64 bytes from 10.0.0.3: icmp_seq=15 ttl=64 time=5.56 ms
64 bytes from 10.0.0.3: icmp_seq=16 ttl=64 time=4.92 ms
64 bytes from 10.0.0.3: icmp_seq=17 ttl=64 time=4.52 ms
64 bytes from 10.0.0.3: icmp_seq=18 ttl=64 time=4.54 ms
64 bytes from 10.0.0.3: icmp_seq=19 ttl=64 time=5.27 ms
64 bytes from 10.0.0.3: icmp_seq=20 ttl=64 time=5.17 ms
64 bytes from 10.0.0.3: icmp_seq=21 ttl=64 time=5.87 ms
64 bytes from 10.0.0.3: icmp_seq=22 ttl=64 time=5.79 ms
64 bytes from 10.0.0.3: icmp_seq=23 ttl=64 time=4.75 ms
64 bytes from 10.0.0.3: icmp_seq=24 ttl=64 time=4.52 ms
64 bytes from 10.0.0.3: icmp_seq=25 ttl=64 time=5.96 ms
64 bytes from 10.0.0.3: icmp_seq=26 ttl=64 time=6.27 ms
64 bytes from 10.0.0.3: icmp_seq=27 ttl=64 time=4.74 ms
64 bytes from 10.0.0.3: icmp_seq=28 ttl=64 time=4.25 ms
64 bytes from 10.0.0.3: icmp_seq=29 ttl=64 time=4.83 ms
64 bytes from 10.0.0.3: icmp_seq=30 ttl=64 time=3.78 ms
64 bytes from 10.0.0.3: icmp_seq=31 ttl=64 time=4.00 ms
64 bytes from 10.0.0.3: icmp_seq=32 ttl=64 time=4.54 ms
64 bytes from 10.0.0.3: icmp_seq=33 ttl=64 time=5.34 ms
64 bytes from 10.0.0.3: icmp_seq=34 ttl=64 time=4.28 ms
64 bytes from 10.0.0.3: icmp_seq=35 ttl=64 time=5.71 ms
64 bytes from 10.0.0.3: icmp_seq=36 ttl=64 time=4.17 ms
64 bytes from 10.0.0.3: icmp_seq=37 ttl=64 time=5.68 ms
64 bytes from 10.0.0.3: icmp_seq=38 ttl=64 time=3.93 ms
64 bytes from 10.0.0.3: icmp_seq=39 ttl=64 time=4.86 ms
64 bytes from 10.0.0.3: icmp_seq=40 ttl=64 time=5.02 ms
64 bytes from 10.0.0.3: icmp_seq=41 ttl=64 time=4.37 ms
64 bytes from 10.0.0.3: icmp_seq=42 ttl=64 time=4.63 ms
64 bytes from 10.0.0.3: icmp_seq=43 ttl=64 time=4.69 ms
64 bytes from 10.0.0.3: icmp_seq=44 ttl=64 time=4.51 ms
64 bytes from 10.0.0.3: icmp_seq=45 ttl=64 time=3.71 ms
64 bytes from 10.0.0.3: icmp_seq=46 ttl=64 time=3.85 ms
64 bytes from 10.0.0.3: icmp_seq=47 ttl=64 time=5.40 ms
64 bytes from 10.0.0.3: icmp_seq=48 ttl=64 time=5.78 ms
64 bytes from 10.0.0.3: icmp_seq=49 ttl=64 time=4.79 ms
